station_id,station_name,wbpcb_station,openmeteo_station,wbpcb_dataset,openmeteo_dataset,location,district,latitude,longitude,state,start_date,end_date,total_records,schema_version
WB001,Avidipta Housing Complex,Avidipta Housing Complex,Avidipta Housing Complex,"Avidipta Housing Complex-Jan 1, 2022-May 30, 2026",open-meteo-22.46N88.41E3m_Avidipta Housing Complex,Avidipta Housing Complex,Kolkata,22.493217,88.39831,West Bengal,2022-03-14,2026-05-30,36115,v1.0
WB002,"Ballygunge Campus, C.U","Ballygunge Campus, C.U","Ballygunge Campus, C.U","Ballygunge Campus, C.U-Jan 1, 2022-May 30, 2026","open-meteo-22.53N88.32E7m_Ballygunge Campus, C.U","Ballygunge Campus, C.U",Kolkata,22.526701,88.36321,West Bengal,2022-10-15,2026-05-30,27602,v1.0
WB003,Bethune College,Bethune College,Bethune College,"Bethune College-Jan 1, 2022-May 30, 2026",open-meteo-22.60N88.41E12m_Bethune College,Bethune College,Kolkata,22.58851,88.367807,West Bengal,2024-03-01,2026-05-30,15838,v1.0
WB004,Dhapa Lock Pumping Station,Dhapa Lock Pumping Station,Dhapa Lock Pumping Station,"Dhapa Lock Pumping Station -Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.41E5m_Dhapa Lock Pumping Station,Dhapa Lock Pumping Station,Kolkata,22.558027,88.40998,West Bengal,2023-01-11,2026-05-30,27182,v1.0
WB005,"East Calcutta Girls College, Lake Town","East Calcutta Girls College, Lake Town","East Calcutta Girls College, Lake Town","East Calcutta Girls College, Lake Town-Jan 1, 2022-May 30, 2026","open-meteo-22.60N88.41E5m_East Calcutta Girls College, Lake Town","East Calcutta Girls College, Lake Town",Kolkata,22.601583,88.404556,West Bengal,2022-01-01,2026-05-30,36539,v1.0
WB006,Flora Fountain,Flora Fountain,Flora Fountain,"Flora Fountain-Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.41E8m_Flora Fountain,Flora Fountain,Kolkata,22.548628,88.382256,West Bengal,2022-04-19,2026-05-30,34751,v1.0
WB007,Fortis Hospital,Fortis Hospital,Fortis Hospital,"Fortis Hospital-Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.41E3m_Fortis Hospital,Fortis Hospital,Kolkata,22.52067,88.401204,West Bengal,2024-05-08,2026-05-30,13277,v1.0
WB008,Lady Brabourne College,Lady Brabourne College,Lady Brabourne College,"Lady Brabourne College-Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.41E9m_Lady Brabourne College,Lady Brabourne College,Kolkata,22.5451541,88.3673286,West Bengal,2022-08-23,2026-05-30,30732,v1.0
WB009,Leather Complex,Leather Complex,Leather Complex,"Leather Complex-Jan 1, 2022-May 30, 2026",open-meteo-22.46N88.51E3m_Leather Complex,Leather Complex,Kolkata,22.4953,88.509293,West Bengal,2022-01-01,2026-05-30,35071,v1.0
WB010,Lorreto College,Lorreto College,Lorreto College,"Lorreto College-Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.32E11m_Lorreto College,Lorreto College,Kolkata,22.549372,88.35171,West Bengal,2023-09-13,2026-05-29,21323,v1.0
WB011,Madhyamgram Municipality,Madhyamgram Municipality,Madhyamgram Municipality,"Madhyamgram Municipality-Jan 1, 2022-May 30, 2026",open-meteo-22.67N88.50E12m_Madhyamgram Municipality,Madhyamgram Municipality,Kolkata,22.692911,88.46523,West Bengal,2022-08-10,2026-05-30,31586,v1.0
WB012,Maulana Azad Collage,Maulana Azad Collage,Maulana Azad Collage,"Maulana Azad Collage-Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.32E12m_Maulana Azad Collage,Maulana Azad Collage,Kolkata,22.560925,88.358155,West Bengal,2023-09-05,2026-05-30,19541,v1.0
WB013,Presidency University,Presidency University,Presidency University,"Presidency University-Jan 1, 2022-May 30, 2026",open-meteo-22.60N88.32E10m_Presidency University,Presidency University,Kolkata,22.5763855,88.3610445,West Bengal,2022-07-14,2026-05-30,32568,v1.0
WB014,Sarojini Naidu College for Women,Sarojini Naidu College for Women,Sarojini Naidu College for Women,"Sarojini Naidu College for Women-Jan 1, 2022-May 30, 2026",open-meteo-22.60N88.41E10m_Sarojini Naidu College for Women,Sarojini Naidu College for Women,Kolkata,22.626505,88.41833,West Bengal,2022-03-02,2026-05-30,35472,v1.0
WB015,Sarsuna College,Sarsuna College,Sarsuna College,"Sarsuna College-Jan 1, 2022-May 30, 2026",open-meteo-22.46N88.32E3m_Sarsuna College,Sarsuna College,Kolkata,22.48127,88.284554,West Bengal,2022-01-01,2026-05-30,37313,v1.0
WB016,Urbana Housing Complex,Urbana Housing Complex,Urbana Housing Complex,"Urbana Housing Complex-Jan 1, 2022-May 30, 2026",open-meteo-22.53N88.41E0m_Urbana Housing Complex,Urbana Housing Complex,Kolkata,22.511385,88.412384,West Bengal,2022-04-05,2026-05-30,35403,v1.0
WB017,"VIVEKANANDA COLLEGE FOR WOMEN, BARISHA","VIVEKANANDA COLLEGE FOR WOMEN, BARISHA","VIVEKANANDA COLLEGE FOR WOMEN, BARISHA","VIVEKANANDA COLLEGE FOR WOMEN, BARISHA-Jan 1, 2022-May 30, 2026","open-meteo-22.46N88.32E10m_VIVEKANANDA COLLEGE FOR WOMEN, BARISHA","VIVEKANANDA COLLEGE FOR WOMEN, BARISHA",Kolkata,22.4885267,88.3141944,West Bengal,2022-01-10,2026-05-30,37803,v1.0
