feature,importance
rolling_mean_6,0.45089394
pm25,0.26927182
rolling_mean_24,0.08437463
lag_1,0.06403305
pm10,0.014982331
lag_24,0.014319618
rolling_max_24,0.0117482
month_cos,0.009075976
lag_48,0.009033239
season,0.007886663
station_code,0.0067471256
temperature_2m,0.0061589717
lag_168,0.005986857
rolling_mean_12,0.005755945
lag_72,0.0057064546
rolling_min_24,0.0043524853
dew_point_2m,0.0036318472
surface_pressure,0.003613078
month_sin,0.0030092762
cloud_cover,0.002682762
rolling_std_24,0.002643366
lag_3,0.0024478878
wind_speed_10m,0.0022137254
hour_cos,0.0021422051
wind_gusts_10m,0.0019873662
hour_sin,0.0019387769
lag_12,0.001741103
lag_6,0.0016212706
