                    , count , mean               , min                , 25%                , 50%                , 75%                , max                , std
datetime            , 2856  , 2026-06-16 11:30:00, 2026-06-13 00:00:00, 2026-06-14 17:45:00, 2026-06-16 11:30:00, 2026-06-18 05:15:00, 2026-06-19 23:00:00,   
latitude            , 2856.0, 22.550886488235296 , 22.48127           , 22.511385          , 22.548628          , 22.5763855         , 22.692911          ,  0.053656480289221986
longitude           , 2856.0, 88.3864439117647   , 88.284554          , 88.3610445         , 88.382256          , 88.40998           , 88.509293          ,  0.05074052079256886
temperature_2m      , 2856.0, 29.74894905090332  , 25.0               , 27.950000762939453 , 29.25              , 31.299999237060547 , 36.20000076293945  ,  2.4242491722106934
relative_humidity_2m, 2856.0, 81.64549255371094  , 46.09490203857422  , 74.97278022766113  , 84.51573944091797  , 90.5726547241211   , 98.24090576171875  , 11.314011573791504
dew_point_2m        , 2856.0, 26.0730037689209   , 22.100000381469727 , 25.5               , 26.149999618530273 , 26.75              , 28.600000381469727 ,  0.9588993787765503
precipitation       , 2856.0, 0.4186624586582184 , 0.0                , 0.0                , 0.0                , 0.10000000149011612, 19.100000381469727 ,  1.6709294319152832
surface_pressure    , 2856.0, 1002.9227294921875 , 999.0541381835938  , 1001.9288024902344 , 1002.9663391113281 , 1003.9485321044922 , 1006.7000122070312 ,  1.411438226699829
cloud_cover         , 2856.0, 56.57177734375     , 1.0                , 23.0               , 54.0               , 95.0               , 100.0              , 34.40608215332031
wind_speed_10m      , 2856.0, 8.199566841125488  , 0.5091168880462646 , 6.140477776527405  , 8.31124496459961   , 10.164417505264282 , 20.75002670288086  ,  3.1507606506347656
wind_direction_10m  , 2856.0, 180.57745361328125 , 46.63653564453125  , 164.87594604492188 , 180.0              , 197.10281372070312 , 360.0              , 31.036460876464844
wind_gusts_10m      , 2856.0, 21.14092254638672  , 3.239999771118164  , 15.84000015258789  , 20.51999855041504  , 26.280000686645508 , 44.279998779296875 ,  7.578701019287109
pm10                , 2856.0, 58.00588607788086  , 32.70000076293945  , 48.099998474121094 , 55.099998474121094 , 65.0               , 128.5              , 16.5902156829834
pm2_5               , 2856.0, 48.240196228027344 , 26.100000381469727 , 38.79999923706055  , 45.29999923706055  , 52.29999923706055  , 124.30000305175781 , 16.26347541809082
nitrogen_dioxide    , 2856.0, 12.62766170501709  , 1.7999999523162842 , 6.0                , 11.5               , 16.924999713897705 , 50.400001525878906 ,  8.355685234069824
sulphur_dioxide     , 2856.0, 11.532527923583984 , 6.099999904632568  , 8.100000381469727  , 9.849999904632568  , 13.600000381469727 , 36.099998474121094 ,  5.07442045211792
ozone               , 2856.0, 102.5020980834961  , 24.0               , 65.0               , 95.0               , 133.0              , 249.0              , 41.87154769897461
carbon_monoxide     , 2856.0, 413.74896240234375 , 228.0              , 347.0              , 404.0              , 473.0              , 722.0              , 86.0205078125
european_aqi        , 2856.0, 78.12793731689453  , 70.49666595458984  , 74.92583847045898  , 77.18666076660156  , 80.54500579833984  , 100.62999725341797 ,  5.253857135772705
us_aqi              , 2856.0, 130.2484893798828  , 106.5521011352539  , 120.39324951171875 , 127.45831298828125 , 139.33331298828125 , 209.17025756835938 , 15.703035354614258
